moh_name,med_name,moh_specialty,med_specialty,spec_match
קרנר ארתור,"ד""ר ארתור קרנר",קרדיולוגיה,קרדיולוגיה פולשנית,True
עביד ראפת,"ד""ר ראפת עביד",נפרולוגיה,פנימית נפרולוגיה ויתר לחץ דם,True
קינן אורי,"ד""ר אורי קינן",כירורגיה אורתופדית,ניתוחי עמוד השדרה,False
סורקין ניר,פרופ' ניר סורקין,מחלות עיניים,מחלות עיניים,True
ביל ילנה,"ד""ר ילנה ביל",רפואה פנימית,המטולוגיה,False
ביל יבגני,"ד""ר יבגני ביל",כירורגיה כללית,פרוקטולוגיה,False
סטמפלר צחי,"ד""ר צחי סטמפלר",רפואת המשפחה,רפואת המשפחה,True
ברודנר יאנה,"ד""ר יאנה ברודנר",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
לוי אברהם,"ד""ר אברהם לוי",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
עבוד לואי,"ד""ר לואי עבוד",נוירולוגיה,נוירולוגיה,True
שלבי סעיד,"ד""ר סעיד שלבי",רפואה פנימית,גריאטריה,False
שמידט מירב,"ד""ר מירב שמידט",יילוד וגינקולוגיה,גינקולוגיה אונקולוגית,False
ויגיסר יפעת,"ד""ר יפעת ויגיסר",נוירולוגיה,נוירולוגיה,True
כסיף יניר,"ד""ר יניר כסיף",מחלות עיניים,רפואת עיניים,False
אשקר אמיר,"ד""ר אמיר אשקר",,רפואה אסתטית,False
כהן חופית,"ד""ר חופית כהן",רפואה פנימית,אנדוקרינולוגיה,False
שפירא סופיה,"ד""ר סופיה שפירא",רפואה פנימית,אנדוקרינולוגיה,False
מרגל דוד,פרופ' דוד מרגל,כירורגיה אורולוגית,כירורגיה אורולוגית ואונקולוגית,True
שחאדה חביב,"ד""ר חביב שחאדה",,פסיכיאטריה,False
פלוטניק אירה,"ד""ר אירה פלוטניק",דרמטולוגיה-מחלות עור ומין,עור ומין,True
לוי יצחק,"ד""ר יצחק לוי",רפואת ילדים,אנדוקרינולוגיה ילדים,False
שאולי יעקב,"ד""ר יעקב שאולי",מחלות עיניים,רפואת עיניים ילדים,False
עודה עלאם,"ד""ר עלאם עודה",גריאטריה,גריאטריה,True
טנה דוד,פרופ' דוד טנה,נוירולוגיה,נוירולוגיה,True
קבאשה אנטון,"ד""ר אנטון קבאשה",כירורגית כלי דם,כירורגיית כלי דם,False
רביב שירה,"ד""ר שירה רביב",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
גוטפרוינד שי,"ד""ר שי גוטפרוינד",מחלות עיניים,"קטרקט, קרנית",False
ישורון אלגית,"ד""ר אלגית ישורון",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
סלאמה כרים,"ד""ר כרים סלאמה",רפואה פנימית,יתר לחץ דם,False
סקרן נאסר,פרופ' נאסר סקרן,כירורגיה כללית,כירורגיה כללית,True
קוזמינסקי אלה,"ד""ר אלה קוזמינסקי",רפואת ילדים,נוירולוגיה ילדים,False
קשת יריב,"ד""ר יריב קשת",מחלות עיניים,רפואת עיניים,False
חי שגיא,"ד""ר שגיא חי",יילוד וגינקולוגיה,,False
סכס פהד,"ד""ר פהד סכס",רפואת המשפחה,רפואת משפחה,False
רוטנשטרייך משגב,"ד""ר משגב רוטנשטרייך",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
ניר יהודית,"ד""ר יהודית ניר",אנדוקרינולוגיה ילדים,אנדוקרינולוגיה ילדים,True
אליצור ארנון,פרופ' ארנון אליצור,מחלות ריאה ילדים,"מחלות ריאה בילדים, אלרגיה/אימנולוגיה בילדים ומבוגרים",False
גרוס שמואל,"ד""ר שמואל גרוס",,רפואת ילדים,False
בוטבול יונתן,"ד""ר יונתן בוטבול",ראומטולוגיה מסלול ילדים,ראומטולוגיה ילדים,False
גרינהאוס לאון,פרופ' לאון גרינהאוס,פסיכיאטריה,פסיכיאטריה,True
דונצ'יק ולרי,"ד""ר ולרי דונצ'יק",כירורגית כלי דם,כירורגיית כלי דם,False
עזאם וסים,"ד""ר וסים עזאם",דרמטולוגיה-מחלות עור ומין,רפואת עור,False
ראט אהוד,פרופ' אהוד ראט,כירורגיה אורתופדית,אורתופדיה,False
כגנסקי דנה,"ד""ר דנה כגנסקי",רפואה פנימית,טיפול בהשמנה,False
רוזנבלט עמיר,"ד""ר עמיר רוזנבלט",מחלות עיניים,"רפואת עיניים, רפואת צלילה",False
כהן יעל,"ד""ר יעל כהן",המטולוגיה,גינקולוגיה ויילוד,False
מנסור יוסף,יוסף מנסור,כירורגיה אורתופדית,פיזיותרפיה,False
צפורי מוראד,"ד""ר מוראד צפורי",מחלות עיניים,רפואת עיניים,False
קאסם רביע,"ד""ר רביע קאסם",מחלות עיניים,רפואת עיניים,False
קוריטני אלכסנדר,"ד""ר אלכסנדר קוריטני",רפואה פנימית,גסטרואנטרולוגיה,False
זחאלקה עלאא,"ד""ר עלאא זחאלקה",כירורגיה כללית,כירורגיה כללית,True
גלעדי יורם,"ד""ר יורם גלעדי",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
דאהר מחמוד,"ד""ר מחמוד דאהר",נפרולוגיה,נפרולוגיה,True
קריחלי דוד,"ד""ר דוד קריחלי",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
פל חני,"ד""ר חני פל",יילוד וגינקולוגיה,כירורגיה גינקולוגית,False
זלוטניק אורן,"ד""ר אורן זלוטניק",כירורגיה כללית,כירורגיה כללית,True
וסילנקו ולדימיר,"ד""ר ולדימיר וסילנקו",רפואה פנימית,קרדיולוגיה,False
סיאם בהאא,"ד""ר בהאא סיאם",כירורגיה כללית,כירורגיה כללית,True
שחם אנה,"ד""ר אנה שחם",פסיכיאטריה,פסיכיאטריה,True
ירדני דן,"ד""ר דן ירדני",כירורגית ילדים,כירורגיה ילדים,False
רמתי ארז,"ד""ר ארז רמתי",רפואה פנימית,"אנדוקרינולוגיה, סוכרת",False
ירון רם,"ד""ר רם ירון",כירורגיה אורתופדית,אורתופדיה של הכתף,False
ביתן אלכסנדרה,"ד""ר אלכסנדרה ביתן",אונקולוגיה  מסלול רדיותרפיה,נוירו-אונקולוגיה,False
מרקל גל,פרופ' גל מרקל,אונקולוגיה,אונקולוגיה רפואית של מלנומה וגידולי עור,True
פרידמן נמרוד,"ד""ר נמרוד פרידמן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
אנדראוס ויסאם,"ד""ר ויסאם אנדראוס",רפואה פנימית,אלרגיה/אימונולוגיה,False
שיזף בעז,"ד""ר בעז שיזף",יילוד וגינקולוגיה,כירורגיה גינקולוגית,False
ארמה יובל,"ד""ר יובל ארמה",כירורגיה אורתופדית,אורתופדיית כתף וברך,False
רייכר מאיר,"ד""ר מאיר רייכר",קרדיולוגיה,קרדיולוגיה,True
איזנשטיין דמיטרי,"ד""ר דמיטרי איזנשטיין",כירורגיה אורתופדית,אורתופדיה עמוד שדרה,False
לוטן יובל,"ד""ר יובל לוטן",כירורגיה אורתופדית,אורתופדיה,False
דאוד מרואן,"ד""ר מרואן דאוד",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
קובו אלון,"ד""ר אלון קובו",כירורגיה אורתופדית,כירורגיה של היד.,False
פז אופיר,"ד""ר אופיר פז",רפואה פנימית,"קרדיולוגיה, אלקטופיזיולוגיה",False
סיאני גיא,"ד""ר גיא סיאני",רפואת ילדים,"הפרעות קשב וריכוז, התפתחות הילד, רפואת ילדים",True
סגלוביץ מתן,"ד""ר מתן סגלוביץ",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
לניאדו דוד,"ד""ר דוד לניאדו",כירורגיה אורתופדית,כירורגיה אורתופדית,True
זוביידאת עאמר,"ד""ר עאמר זוביידאת",גריאטריה,גריאטריה,True
נג'אר רונזא,"ד""ר רונזא נג'אר",מחלות זיהומיות,מחלות זיהומיות,True
רסין טובי,"ד""ר טובי רסין",רפואה פנימית,קרדיולוגיה,False
פאר מיכאל,"ד""ר מיכאל פאר",,כירורגית חזה,False
אופיר לירן,"ד""ר לירן אופיר",כירורגיה אורתופדית,כירורגיה אורתופדית וכירורגיה של היד,True
קראוס מרדכי,פרופ' מרדכי קראוס,מחלות אף אוזן וגרון,"אף, אוזן, גרון וכירורגיית ראש-צוואר",False
סוחוטניק איגור,פרופ' איגור סוחוטניק,כירורגית ילדים,כירורגיית ילדים,False
דיאב סאמר,"ד""ר סאמר דיאב",כירורגית בית החזה - מסלול כירורגית לב,כירורגית כלי דם,False
קוגלמן ניר,"ד""ר ניר קוגלמן",יילוד וגינקולוגיה,פיריון האישה,False
נג'אר עסמת,"ד""ר עסמת נג'אר",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף אוזן גרון וניתוחי ראש וצוואר,False
רקדזון סתיו,"ד""ר סתיו רקדזון",רפואה פנימית,מחלות ריאה,False
רונת יהודית,"ד""ר יהודית רונת",פסיכיאטריה,פסיכיאטריה,True
מזרחי מתי,"ד""ר מתי מזרחי",מחלות א.א.ג. וכירורגיית ראש-צוואר,אף-אוזן-גרון וכירורגיית ראש וצוואר,False
ממלין אלה,"ד""ר אלה ממלין",מחלות אף אוזן וגרון,אף אוזן גרון,False
הולנד רועי,"ד""ר רועי הולנד",אונקולוגיה  מסלול רדיותרפיה,"גידולי ערמונית, שלפוחית השתן וסרטן השד",False
קובל אלכסנדר,"ד""ר אלכסנדר קובל",רפואת ילדים,רפואת ילדים,True
כהן רוני,"ד""ר רוני כהן",נוירולוגית ילדים והתפתחות הילד,גינקולוגיה ומיילדות,False
רוזנטל עדיה,"ד""ר עדיה רוזנטל",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
בטחיש יונס,"ד""ר יונס בטחיש",נפרולוגיה,נפרולוגיה,True
שפונט יאנה,"ד""ר יאנה שפונט",ראומטולוגיה,ראומטולוגיה,True
אסדי סאהר,"ד""ר סאהר אסדי",רדיולוגיה אבחנתית,דימות הבטן והאגן,False
לאוב אדם,"ד""ר אדם לאוב",נוירולוגיה,נוירולוגיה מבוגרים,True
גונן נעה,"ד""ר נעה גונן",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
שמעוני עירית,"ד""ר עירית שמעוני",כירורגיה כללית,כירורגיית שד,False
קמר משה,"ד""ר משה קמר",כירורגיה כללית,כירורגיה כללית,True
רחאל פאדי,"ד""ר פאדי רחאל",נוירולוגיה,נוירולוגיה,True
כהן שרה,שרה כהן,,אוסטאופתיה,False
ריימן שלומי,"ד""ר שלומי ריימן",כירורגיה כללית,כירורגיה כללית,True
בלוך רות,"ד""ר רות בלוך",יילוד וגינקולוגיה,"רפואת נשים, אולטרה סאונד גינקולוגי",False
סמרי וליד,"ד""ר וליד סמרי",נוירולוגיה,נוירולוגיה,True
חילו וסים,"ד""ר וסים חילו",מחלות עיניים,עיניים,True
קורנייבסקי מיכאל,"ד""ר מיכאל קורנייבסקי",הרדמה,טיפול בכאב,False
רודניצקי ירון,"ד""ר ירון רודניצקי",כירורגיה כללית,כירורגיה כללית,True
טיבי פאדל,"ד""ר פאדל טיבי",רפואת ילדים,רפואת ילדים,True
נאסר רוני,"ד""ר רוני נאסר",רפואה פנימית,גסטרואנטרולוגיה,False
שלח מקבל,"ד""ר מקבל שלח",כירורגיה אורתופדית,כירורגיה אורתופדית,True
קוליש נורית,"ד""ר נורית קוליש",דרמטולוגיה-מחלות עור ומין,רפואת עור,False
גרוסמן יהונתן,"ד""ר יהונתן גרוסמן",קרדיולוגיה,קרדיולוגיה,True
יריב שחק,"ד""ר שחק יריב",פסיכיאטריה,פסיכיאטריה,True
וולפוביץ עמית,"ד""ר עמית וולפוביץ",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אף אוזן גרון, ניתוחי ראש צוואר",False
מוסא מימון,"ד""ר מימון מוסא",יילוד וגינקולוגיה,סקירות מערכות,False
שוורץ מיכאל,"ד""ר מיכאל שוורץ",רדיולוגיה אבחנתית,כירופרקטיקה,False
גרינברג אריה,"ד""ר אריה גרינברג",,"אורתופדיה, החלפות מפרקים",False
גניזי יעקב,פרופ' יעקב גניזי,רפואת ילדים,נוירולוגית ילדים,False
נעמה כמאל,"ד""ר כמאל נעמה",,אסתטיקת פנים,False
דאוד דיב,"ד""ר דיב דאוד",רפואה פנימית,אנדוקרינולוגיה,False
פקטור שי,"ד""ר שי פקטור",כירורגיה של היד,"כירורגיה של היד, מיקרוכירורגיה של היד",True
שחאדה ג'יריס,"ד""ר ג'יריס שחאדה",רפואה פנימית,"קרדיולוגיה, אקו לב, מחלות מסתמי הלב, בעיות לב בהריון, מחלות לב איסכמיות",False
סקר חאדר,"ד""ר חאדר סקר",רפואה פנימית,נפרולוגיה,False
אלדדא מחמד,"ד""ר מחמד אלדדא",כירורגיה אורתופדית,כירורגיה אורתופדית,True
שוטלנד יחזקאל,"ד""ר יחזקאל שוטלנד",כירורגיה אורולוגית,חוות דעת אורולוגיות,False
פרקש אדם,"ד""ר אדם פרקש",רדיולוגיה אבחנתית,רדיולוגיה פולשנית,False
קולודי מרינה,"ד""ר מרינה קולודי",כירורגית בית החזה - מסלול כירורגית חזה כללית,ניתוחי חזה,False
מדינה אהרון,"ד""ר אהרון מדינה",קרדיולוגיה,קרדיולוגיה,True
נסים ליאור,"ד""ר ליאור נסים",רפואת המשפחה,רפואה אסתטית,False
רוזובסקי אורי,פרופ' אורי רוזובסקי,המטולוגיה,המטולוגיה,True
מחול חנא,"ד""ר חנא מחול",,אסתטיקת פנים,False
ג'ואברה בכר,"ד""ר בכר ג'ואברה",כירורגיה אורתופדית,אורתופדיה כללית,False
טילבור עינת,"ד""ר עינת טילבור",פסיכיאטריה,פסיכיאטריה,True
ביאדסה מוחמד,"ד""ר מוחמד ביאדסה",מחלות עיניים,מחלות עיניים,True
קהל מיכל,"ד""ר מיכל קהל",מחלות ריאה ילדים,מחלות ריאה ילדים,True
אמיר אברהם,"ד""ר אברהם אמיר",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
ניימן אריאל,"ד""ר אריאל ניימן",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
סלוק ליאור,"ד""ר ליאור סלוק",מחלות ריאה,מחלות ריאה,True
פרידמן מריה,"ד""ר מריה פרידמן",הרדמה,טיפול בכאב,False
איזקוב וורן,"ד""ר וורן איזקוב",רפואה פנימית,מחלות ריאה,False
רביב טל,"ד""ר טל רביב",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
שליט נטלי,"ד""ר נטלי שליט",רפואה לשיכוך כאב,"רפואה פנימית, שיכוך כאב",False
לויטס דינה,"ד""ר דינה לויטס",אונקולוגיה,אונקולוגיה,True
שמיה חוסיין,"ד""ר חוסיין שמיה",פסיכיאטריה,פסיכיאטריה,True
מלמד עידו,"ד""ר עידו מלמד",רפואת ילדים,הפרעות קשב וריכוז,False
אלון דניאל,"ד""ר דניאל אלון",הרדמה,טיפול בכאב,False
זינס ינאי,"ד""ר ינאי זינס",יילוד וגינקולוגיה,אורוגינקולוגיה,False
לברון יעקב,פרופ' יעקב לברון,יילוד וגינקולוגיה,"גינקולוגיה, פריון האישה",False
פרט דן,"ד""ר דן פרט",כירורגיה אורתופדית,כירורגיה אורתופדית,True
נפאע מג'די,"ד""ר מג'די נפאע",גריאטריה,גריאטריה,True
פאהום פיראס,"ד""ר פיראס פאהום",נוירולוגיה,נוירולוגיה,True
לוין אינה,"ד""ר אינה לוין",,פסיכיאטריה,False
ברונשטיין יגאל,"ד""ר יגאל ברונשטיין",כירורגיה אורתופדית,אורתופדית עמוד שדרה,False
דובקין איגור,"ד""ר איגור דובקין",כירורגיה כללית,כירורגיה כללית,True
לוין דניאל,"ד""ר דניאל לוין",כירורגיה אורתופדית,כירורגיה אורתופדית,True
קלמן איגור,"ד""ר איגור קלמן",פסיכיאטריה,"פסיכיאטריה, חוות דעת רפואיות",True
לוי ארז,"ד""ר ארז לוי",קרדיולוגיה,קרדיולוגיה,True
שניידר שי,"ד""ר שי שניידר",מחלות א.א.ג. וכירורגיית ראש-צוואר,"רינולוגיה, כירורגיה אנדוסקופית של האף, סינוסים ובסיס הגולגולת",False
לנדסברג רועי,פרופ' רועי לנדסברג,מחלות אף אוזן וגרון,"רינולוגיה, כירורגיה אנדוסקופית של האף, סינוסים ובסיס הגולגולת",False
פינקל ענבר,"ד""ר ענבר פינקל",אונקולוגיה מסלול אונקולוגיה רפואית,אף אוזן גרון וניתוחי ראש צוואר,False
כהן עודד,פרופ' עודד כהן,מחלות א.א.ג. וכירורגיית ראש-צוואר,כירורגייה אונקולוגית של ראש-צוואר,False
קורבסקי לב,"ד""ר לב קורבסקי",פסיכיאטריה,פסיכיאטריה,True
חורב יוחנן,"ד""ר יוחנן חורב",כירורגיה אורתופדית,החלפת ברך,False
קריסי חיים,פרופ' חיים קריסי,יילוד וגינקולוגיה,אורוגינקולוגיה וניתוחי רצפת האגן,False
עאמר קרם,"ד""ר קרם עאמר",רפואה פנימית,רפואה פנימית,True
מרקוסון ארז,"ד""ר ארז מרקוסון",קרדיולוגיה,"קרדיולוגיה, צנתורי לב",True
חאסקיה חסן,"ד""ר חסן חאסקיה",רדיולוגיה אבחנתית,רדיולוגיה אבחנתית,True
פשרסטניק מיכאל,"ד""ר מיכאל פשרסטניק",כירורגיה אורולוגית,כירורגיה אורולוגית,True
הימן אלון,"ד""ר אלון הימן",כירורגיה אורתופדית,אורתופדיה,False
גורדון נינה,"ד""ר נינה גורדון",יילוד וגינקולוגיה,רפואת נשים/גינקולוגיה,False
אלרם תמר,"ד""ר תמר אלרם",מנהל רפואי,גינקולוגיה ומיילדות,False
יניב דן,"ד""ר דן יניב",רפואת המשפחה,ירידה במשקל,False
פלד יאיר,פרופ' יאיר פלד,קרדיולוגיה,קרדיולוגיה,True
בר אריאל,"ד""ר אריאל בר",מחלות עיניים,ניתוחי עפעפיים,False
ויינריב מיכאל,"ד""ר מיכאל ויינריב",כירורגיה אורולוגית,כירורגיה אורולוגית,True
חדאד בשיר,"ד""ר בשיר חדאד",,רפואה אסתטית,False
ברכה מיכל,"ד""ר מיכל ברכה",כירורגיה כללית,כירורגיית שד,False
אודנהיימר דן,"ד""ר דן אודנהיימר",כירורגיה כללית,כירורגיה כללית,True
רוזן ליאורה,"ד""ר ליאורה רוזן",נוירולוגיה,נוירולוגיה,True
רוף עודד,"ד""ר עודד רוף",רפואת המשפחה,טיפול בבעיות שלא נמצא להן פתרון,False
סלוין עומר,"ד""ר עומר סלוין",כירורגיה אורתופדית,כירורגיית כף היד,False
כץ רן,פרופ' רן כץ,כירורגיה אורולוגית,כירורגיה אורולוגית,True
דלאל ראיד,"ד""ר ראיד דלאל",מחלות אף אוזן וגרון,אף אוזן גרון וכירורגיית ראש-צוואר,False
זליקובסקי אביגדור,פרופ' אביגדור זליקובסקי,כירורגית כלי דם,כירורגיית כלי דם,False
אורגיל מתן,"ד""ר מתן אורגיל",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
זמורה-בלוססקי אסנת,"ד""ר אסנת זמורה-בלוססקי",כירורגיה כללית,כירורגיית ילדים ונוער,False
רייף דניאל,"ד""ר דניאל רייף",,רפואת עור ומין,False
יעקובוביץ' דמיטרי,"ד""ר דמיטרי יעקובוביץ'",כירורגית כלי דם,כירורגית כלי דם,True
סנעאללה מוחמד,"ד""ר מוחמד סנעאללה",רפואה פנימית,רפואה אסתטית,False
גונן עופר,"ד""ר עופר גונן",יילוד וגינקולוגיה,פריון האישה,False
פולטייב ולדימיר,"ד""ר ולדימיר פולטייב",קרדיולוגיה,קרדיולוגיה,True
ספיבק אלכסנדר,"ד""ר אלכסנדר ספיבק",רפואה תעסוקתית,רפואה תעסוקתית,True
כמאל אוסאמה,"ד""ר אוסאמה כמאל",דרמטולוגיה-מחלות עור ומין,רפואת עור מבוגרים וילדים,False
רובינשטיין דניס,"ד""ר דניס רובינשטיין",כירורגיה אורתופדית,"אורתופדיה, החלפות מפרקים",False
שכטר אורית,"ד""ר אורית שכטר",דרמטולוגיה-מחלות עור ומין,עור ומין,True
אלנבוגן ערן,"ד""ר ערן אלנבוגן",דרמטולוגיה-מחלות עור ומין,רפואת עור ומין,False
ניצן אורי,"ד""ר אורי ניצן",רפואת המשפחה,פסיכיאטריה,False
נאסר פירוז,"ד""ר פירוז נאסר",נוירולוגית ילדים והתפתחות הילד,נוירולוגיה ילדים,False
סטנובסקי ירון,"ד""ר ירון סטנובסקי",קרדיולוגיה,קרדיולוגיה,True
מן ויטלי,"ד""ר ויטלי מן",מחלות עיניים,רפואת עיניים,False
חילו אליאס,"ד""ר אליאס חילו",קרדיולוגיה,"קרדיולוגיה, קרדיולוגיה פולשנית",True
קרסו שמי,פרופ’ שמי קרסו,רפואה פנימית,קרדיולוגיה בלתי פולשנית,False
עומר לואא,"ד""ר לואא עומר",מחלות עיניים,"רפואת עיניים, קרנית",False
ארמרניק שרון,"ד""ר שרון ארמרניק",מחלות עיניים,רפואת עיניים לילדים ופזילה,False
שקרה טטיאנה,"ד""ר טטיאנה שקרה",פסיכיאטריה,פסיכיאטריה,True
הרשקוביץ קורין,"ד""ר קורין הרשקוביץ",רפואת המשפחה,גריאטריה,False
אלמוגי גדעון,פרופ' גדעון אלמוגי,כירורגיה כללית,כירורגיה כללית,True
בירן מתן,"ד""ר מתן בירן",כירורגיה של היד,כירורגיה של היד,True
שוהם אביבית,"ד""ר אביבית שוהם",רדיולוגיה אבחנתית,רדיולוגיה פולשנית,False
רומננקו יעקב,"ד""ר יעקב רומננקו",רדיולוגיה אבחנתית,"רדיולוגיה אבחנתית, רדיולוגיה פולשנית",True
שנק מרינה,"ד""ר מרינה שנק",מחלות עיניים,רפואת עיניים,False
כץ אוהד,"ד""ר אוהד כץ",יילוד וגינקולוגיה,"גינקולוגיה, הריון ולידה, סקירה מוקדמת",False
ברודבקה מיכל,"ד""ר מיכל ברודבקה",ראומטולוגיה,ראומטולוגיה,True
תירוש דן,"ד""ר דן תירוש",יילוד וגינקולוגיה,אולטרה-סאונד מיילדותי וגינקולוגי,False
יונש מיכאל,פרופ' מיכאל יונש,רפואה פנימית,קרדיולוגיה,False
קליין קסניה,"ד""ר קסניה קליין",גריאטריה,גריאטריה,True
טורם מאיה,"ד""ר מאיה טורם",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
רגנבוגן מיכאל,"ד""ר מיכאל רגנבוגן",מחלות עיניים,"רפואת עיניים, מחלות רשתית, ניתוחי קטרקט",False
שנקמן לואיס,פרופ' לואיס שנקמן,אנדוקרינולוגיה,"אנדוקרינולוגיה, רפואה פנימית",True
שטרן בנימין,"ד""ר בנימין שטרן",מחלות עיניים,"ניתוחי קטרקט, ניתוחי לייזר",False
דרורי יצחק,"ד""ר יצחק דרורי",רפואת המשפחה,טיפול בכאב,False
גלאובך אביטל,"ד""ר אביטל גלאובך",יילוד וגינקולוגיה,רפואת נשים/גינקולוגיה,False
וילנר ענבל,"ד""ר ענבל וילנר",יילוד וגינקולוגיה,"רפואת נשים, הריון בסיכון",False
חמוד מוחמד,"ד""ר מוחמד חמוד",כירורגיה כללית,פסיכיאטריה לילדים ובני נוער,False
אליאס שלמה,"ד""ר שלמה אליאס",כירורגיה אורתופדית,אורתופדיית כף רגל וקרסול,False
גבעון אורי,פרופ' אורי גבעון,כירורגיה אורתופדית,אורתופדיה ילדים,False
ביקלס יעקב,פרופ׳ יעקב ביקלס,כירורגיה אורתופדית,"אורתופדיה אונקולוגית, כירורגיה אורתופדית",True
חדד אביאל,"ד""ר אביאל חדד",מחלות עיניים,רפואת עיניים,False
דנו יצחק,"ד""ר יצחק דנו",מחלות אף אוזן וגרון,אף אוזן וגרון,True
חיים יעל,"ד""ר יעל חיים",רפואת המשפחה,רפואת שיניים לילדים,False
לובצקי ניר,פרופ' ניר לובצקי,כירורגיה כללית,"כירורגיית כבד, לבלב, כיס ודרכי מרה",False
ואטמאכר אלינה,"ד""ר אלינה ואטמאכר",,"סוכרת, טיפול בהשמנה",False
רוט יונתן,פרופ' יונתן רוט,נוירוכירורגיה,"נוירוכירורגיה מבוגרים , נוירוכירוגיה ילדים",True
עאזם פואד,פרופ' פואד עאזם,יילוד וגינקולוגיה,פריון האישה,False
שמאלי שמאלי,"ד""ר שמאלי שמאלי",מחלות עיניים,רפואת עיניים לילדים,False
קהת רינת,"ד""ר רינת קהת",מחלות עיניים,"רפואת עיניים, מחלות רשתית",False
גילת רון,"ד""ר רון גילת",כירורגיה אורתופדית,"פציעות ספורט, שימור המפרק",False
מאירסון מיכל,"ד""ר מיכל מאירסון",גריאטריה,גריאטריה,True
קסטל אושרת,"ד""ר אושרת קסטל",,רפואה אסתטית,False
טיומני אליזה,"ד""ר אליזה טיומני",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
קולב הדר,"ד""ר הדר קולב",נוירולוגיה,"נוירולוגיה, טרשת נפוצה",True
אמונץ סרגיי,"ד""ר סרגיי אמונץ",כירורגיה של בית החזה,ניתוחי לב,False
ויתקון רועי,"ד""ר רועי ויתקון",רפואה פנימית,המטולוגיה,False
הלוי בנימין,"ד""ר בנימין הלוי",מחלות עיניים,רפואת עיניים,False
פטרוניוס דן,"ד""ר דן פטרוניוס",דרמטולוגיה-מחלות עור ומין,"רפואת עור ומין, רפואה אסתטית",False
מרום אלעד,"ד""ר אלעד מרום",כירורגיה אורתופדית,אורתופדיית כתף,False
מילר רפאל,"ד""ר רפאל מילר",כירורגיה כללית,כירורגיה כללית,True
לוי אופיר,"ד""ר אופיר לוי",נוירולוגיה,נוירולוגיה,True
סמחאת חוסיין,"ד""ר חוסיין סמחאת",כירורגיה אורתופדית,החלפת מפרק ברך וירך,False
רוזנברג ניקול,"ד""ר ניקול רוזנברג",נוירולוגיה,נוירולוגיה,True
ציפרמן לימור,"ד""ר לימור ציפרמן",רפואת המשפחה,גריאטריה,False
פז טל,"ד""ר טל פז",מחלות עיניים,"רפואת עיניים, נוירואופתלמולוגיה",False
טאהא מוחמד,"ד""ר מוחמד טאהא",מחלות א.א.ג. וכירורגיית ראש-צוואר,"רפואה אסתטית, טיפולי הזרקות",False
סאבא ג'ורג',"ד""ר ג'ורג' סאבא",,טיפולים אסתטיים,False
קליין אמיר,"ד""ר אמיר קליין",גסטרואנטרולוגיה,גסטרואנטרולוגיה,True
אגבאריה אלטייב,"ד""ר אלטייב אגבאריה",כירורגיה אורתופדית,אורתופדיה ברכיים,False
אזרחי דוד,"ד""ר דוד אזרחי",מחלות עיניים,רפואת עיניים,False
לוין דן,"ד""ר דן לוין",יילוד וגינקולוגיה,גינקולוגיה ופריון,False
גרניאק אלכסנדר,"ד""ר אלכסנדר גרניאק",רדיולוגיה אבחנתית,רדיולוגיה אבחנתית,True
סוקול יבגניה,"ד""ר יבגניה סוקול",ראומטולוגיה,ראומטולוגיה,True
