moh_name,med_name,moh_specialty,med_specialty,spec_match
גרובר יובל,"ד""ר יובל גרובר",נוירוכירורגיה,נוירוכירורגיה,True
פעילן יובל,"ד""ר יובל פעילן",כירורגיה אורתופדית,אורתופדיית כתף ומרפק,False
עמאשה כאמל,"ד""ר כאמל עמאשה",גריאטריה,גריאטריה,True
עזאם סובחי,"ד""ר סובחי עזאם",גריאטריה,גריאטריה,True
זלוטניק יאיר,"ד""ר יאיר זלוטניק",נוירולוגיה,נוירולוגיה,True
הרר דרור,"ד""ר דרור הרר",,אסתטיקה רפואית,False
רפאל ארי,"ד""ר ארי רפאל",אונקולוגיה מסלול אונקולוגיה רפואית,"גידולי בית חזה, סרטן ריאות ומחקרים קליניים",False
גרימברג אודי,"ד""ר אודי גרימברג",כירורגיה אורתופדית,אורתופדיה,False
מטאנס עמאד,"ד""ר עמאד מטאנס",יילוד וגינקולוגיה,גינקו-אונקולוגיה,False
נעאמנה מוסטפא,"ד""ר מוסטפא נעאמנה",כירורגיה אורתופדית,אורתופדיית כף היד,False
דוד שושנה,"ד""ר שושנה דוד",רפואת המשפחה,גריאטריה,False
וולוביץ בנימין,פרופ' בנימין וולוביץ,מחלות ריאה ילדים,רפואת ריאות ילדים,False
כהן עדן,"ד""ר עדן כהן",,רפואת שיניים למבוגרים וילדים,False
גולדשטיין לילך,"ד""ר לילך גולדשטיין",נוירולוגיה,נוירולוגיה,True
אקדם אמיר,"ד""ר אמיר אקדם",יילוד וגינקולוגיה,היסטרוסקופיה צוואר הרחם ורפואת נשים,False
פלייסיג אפרת,"ד""ר אפרת פלייסיג",מחלות עיניים,מחלות רשתית,False
מוסקוויסי סמואל,"ד""ר סמואל מוסקוויסי",נוירוכירורגיה,נוירוכירורגיה,True
מקייטן מתן,"ד""ר מתן מקייטן",כירורגיה אורולוגית,אורולוגיה,False
פרולוב אולסיה,"ד""ר אולסיה פרולוב",רפואת ילדים,הפרעות קשב וריכוז,False
אלמוס מיכל,"ד""ר מיכל אלמוס",,כירורגיה פה פנים ולסתות,False
גור אביב,"ד""ר אביב גור",נוירולוגיה,נוירולוגיה,True
גנטוס מרואן,"ד""ר מרואן גנטוס",כירורגיה אורתופדית,אורתופדיה ברכיים,False
דרוין עמית,"ד""ר עמית דרוין",רפואה פנימית,ראומטולוגיה,False
רוזנטל אביה,"ד""ר אביה רוזנטל",יילוד וגינקולוגיה,"רפואת נשים, מיילדות ופריון",False
הלפרין רעות,"ד""ר רעות הלפרין",אנדוקרינולוגיה,אנדוקרינולוגיה וסוכרת,True
גיא ליאורה,"ד""ר ליאורה גיא",יילוד וגינקולוגיה,מחלות עריה ולדן,False
שפרן תמר,"ד""ר תמר שפרן",מחלות עיניים,רפואת עיניים ילדים ופזילה,False
גרה סוהיל,"ד""ר סוהיל גרה",מחלות א.א.ג. וכירורגיית ראש-צוואר,רפואת אף אוזן גרון וניתוחי ראש צוואר,False
דרקסלר מיכאל,פרופ' מיכאל דרקסלר,כירורגיה אורתופדית,החלפות מפרקים בעזרת רובוט,False
גלילי רונן,"ד""ר רונן גלילי",כירורגית חזה ולב,כירורגיה של בית החזה,False
אליאס מרואן,"ד""ר מרואן אליאס",כירורגיה כללית,כירורגיה כללית וכירורגית ילדים,True
ירמייב מיכאל,"ד""ר מיכאל ירמייב",פסיכיאטריה,"פסיכיאטריה, פסיכותרפיה",True
סילבר נתן,"ד""ר נתן סילבר",כירורגיה של היד,"כירורגית כף יד, החלפת מפרקים של כף היד ושורש היד",False
סעאדה סעיד,"ד""ר סעיד סעאדה",הרדמה,רפואת כאב,False
יאסין סעיד,"ד""ר סעיד יאסין",,נוירוכירורגיה,False
נסאר מריה,"ד""ר מריה נסאר",נוירולוגיה,נוירולוגיה,True
פואז עבדאללה,"ד""ר עבדאללה פואז",רפואה פנימית,ראומטולוגיה,False
רתם עפר,"ד""ר עפר רתם",אונקולוגיה מסלול אונקולוגיה רפואית,אונקולוגיה,True
ח'ורי רים,"ד""ר רים ח'ורי",כירורגיה כללית,כירורגית שד,False
ליברמן בועז,"ד""ר בועז ליברמן",כירורגיה אורתופדית,"אורתופדיה אונקולוגית, החלפות מפרקים מורכבות וחוזרות",False
הלוי חן,פרופ' חן הלוי,נוירולוגיה,שבץ,False
רסנר גיא,"ד""ר גיא רסנר",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
שפירא יונתן,"ד""ר יונתן שפירא",רפואה פנימית,רפואת עור ומין,False
דהן טל,"ד""ר טל דהן",,רפואה אסתטית,False
וסרצוג אושרי,"ד""ר אושרי וסרצוג",מחלות א.א.ג. וכירורגיית ראש-צוואר,רפואת אף אוזן גרון בילדים ובמבוגרים,False
קולפ שני,"ד""ר שני קולפ",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
מסארוה רנין,"ד""ר רנין מסארוה",פסיכיאטריה של הילד והמתבגר,פסיכיאטריה,True
ברנר סבטלנה,"ד""ר סבטלנה ברנר",רפואה פנימית,קרדיולוגיה,False
כליפה מוחמד,"ד""ר מוחמד כליפה",כירורגיה כללית,כירורגיה קולורקטלית ופרוקטולוגית,False
קניגשטיין מעין,פרופ' מעין קניגשטיין,קרדיולוגיה,קרדיולוגיה,True
גורביץ מקסים,"ד""ר מקסים גורביץ",כירורגיה אורתופדית,טיפול בכף רגל סוכרתית ופצעים קשיי ריפוי,False
וול אנטון,"ד""ר אנטון וול",נוירוכירורגיה,"נוירו-אונקולוגיה, רדיוכירורגיה סטריוטקטית, טיפול בגידולי מוח שפירים וממאירים",False
שוחט שירלי,"ד""ר שירלי שוחט",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
שהואן אחמד,"ד""ר אחמד שהואן",כירורגיה אורתופדית,אורתופדיית גב ועמוד השדרה,False
צ'וטקו בוריס,"ד""ר בוריס צ'וטקו",רפואה פנימית,קרדיולוגיה,False
עבאסי ענאן,"ד""ר ענאן עבאסי",מנהל רפואי,רפואת עיניים,False
שוורצמן פולינה,"ד""ר פולינה שוורצמן",יילוד וגינקולוגיה,גינקולוגיה ומיילדות,False
זיגמונד אהוד,"ד""ר אהוד זיגמונד",גסטרואנטרולוגיה,מחלות כבד,False
מג'דוב מוחמד,"ד""ר מוחמד מג'דוב",כירורגיה אורולוגית,אורולוגיה,False
מסארוה סעיד,"ד""ר סעיד מסארוה",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית ואסתטית,True
ליוס אילי,"ד""ר אילי ליוס",מחלות א.א.ג. וכירורגיית ראש-צוואר,"אף אוזן גרון, ניתוחי ראש וצוואר, לרינגולוגיה",False
גנדלמן ארקדי,"ד""ר ארקדי גנדלמן",פסיכיאטריה,פסיכיאטריה,True
מעודה-חבקוק מיכל,"ד""ר מיכל מעודה-חבקוק",רדיולוגיה אבחנתית,רדיולוגיה פולשנית,False
ברנפלד בנימין,"ד""ר בנימין ברנפלד",כירורגיה אורתופדית,"החלפות מפרקי ברך וירך, רפואת ספורט וארתרוסקופיות",False
קוטלר דניאל,"ד""ר דניאל קוטלר",פסיכיאטריה,ניתוחי קטרקט וגלאוקומה,False
מנשה שקד,"ד""ר שקד מנשה",כירורגיה פלסטית ואסתטית,כירורגיה פלסטית,True
גרין תמר,"ד""ר תמר גרין",פסיכיאטריה של הילד והמתבגר,"מעקב הריון, סקירת מערכות (מוקדמת, מאוחרת, שלישית), גינקולוגיה כללית",False
טוביאס טל,"ד""ר טל טוביאס",כירורגיה פלסטית ואסתטית,"כירורגיה פלסטית, אסתטית ומשחזרת",False
ליכטנשטיין עדי,"ד""ר עדי ליכטנשטיין",כירורגיה אורתופדית,כירורגיה אורתופדית,True
רוזנפלד אלדר,"ד""ר אלדר רוזנפלד",מחלות עיניים,קטרקט,False
קדם הויזמן מורן,"ד""ר מורן הויזמן קדם",רפואת ילדים,נוירולוגיה ילדים והתפתחות הילד,False
סעידיאן דניאל,"ד""ר דניאל סעידיאן",כירורגיה אורולוגית,אורולוגיה כללית ואורולוגיה אונקולוגית,False
