name,raw_name,specialty,norm_name,norm_specialty,source
"ד""ר גרון נסים",גרון נסים,,נסים גרון,,IMA
"ד""ר שץ ענתמומחית במחלות א.א.ג וכירורגיה של ראש וצוואר",שץ ענתמומחית במחלות א.א.ג וכירורגיה של ראש וצוואר,,וצוואר ראש של וכירורגיה א.א.ג במחלות ענתמומחית שץ,,IMA
פרופ פרידלנדר צבי,פרידלנדר צבי,"מומחה במחלות ריאה, מומחה ברפואה פנימית",צבי פרידלנדר,במחלות ריאה מומחה ברפואה פנימית,IMA
פרופ פרידלנדר צבי,פרידלנדר צבי,,צבי פרידלנדר,,IMA
"ד""ר ברקלי יונתן",ברקלי יונתן,מומחה ברפואת משפחה,יונתן ברקלי,ברפואת משפחה,IMA
"ד""ר ברקלי יונתן",ברקלי יונתן,,יונתן ברקלי,,IMA
"ד""ר שפירא דוריתמומחית במחלות עור ומין",שפירא דוריתמומחית במחלות עור ומין,,ומין עור במחלות דוריתמומחית שפירא,,IMA
"ד""ר שפירא דורית",שפירא דורית,,דורית שפירא,,IMA
"ד""ר שרייאר אילן",שרייאר אילן,מומחה בכירורגיה כללית,אילן שרייאר,בכירורגיה כללית,IMA
"ד""ר שרייאר אילן",שרייאר אילן,,אילן שרייאר,,IMA
פרופ מנדל דרור,מנדל דרור,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",דרור מנדל,בנאונטולוגיה מומחה ברפואת ילדים,IMA
פרופ מנדל דרור,מנדל דרור,,דרור מנדל,,IMA
פרופ לייבה חנהמומחית במחלות עיניים,לייבה חנהמומחית במחלות עיניים,,עיניים במחלות חנהמומחית לייבה,,IMA
פרופ לייבה חנה,לייבה חנה,,חנה לייבה,,IMA
"ד""ר ונגרובר דוב",ונגרובר דוב,מומחה בגסטרואנטרולוגיה,דוב ונגרובר,בגסטרואנטרולוגיה,IMA
"ד""ר ונגרובר דוב",ונגרובר דוב,,דוב ונגרובר,,IMA
"ד""ר כהן-עזרא אורניתמומחית בגסטרואנטרולוגיה, מומחית ברפואה פנימית","כהן-עזרא אורניתמומחית בגסטרואנטרולוגיה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית בגסטרואנטרולוגיה, אורניתמומחית כהן-עזרא",,IMA
"ד""ר כהן-עזרא אורנית",כהן-עזרא אורנית,,אורנית כהן-עזרא,,IMA
"ד""ר ישראלית שלמה-חנן",ישראלית שלמה-חנן,"מומחה ברפואה דחופה, מומחה בכירורגיה כללית",שלמה-חנן ישראלית,ברפואה דחופה מומחה בכירורגיה כללית,IMA
"ד""ר ישראלית שלמה-חנן",ישראלית שלמה-חנן,,שלמה-חנן ישראלית,,IMA
"ד""ר אשל אליקים",אשל אליקים,מומחה ברפואה פנימית,אליקים אשל,ברפואה פנימית,IMA
"ד""ר אשל אליקים",אשל אליקים,,אליקים אשל,,IMA
פרופ פרקש עמיצור,פרקש עמיצור,מומחה בכירורגיה אורולוגית,עמיצור פרקש,בכירורגיה אורולוגית,IMA
פרופ פרקש עמיצור,פרקש עמיצור,,עמיצור פרקש,,IMA
"ד""ר קייזמן דניאל",קייזמן דניאל,"מומחה באונקולוגיה, מומחה ברפואה פנימית",דניאל קייזמן,באונקולוגיה מומחה ברפואה פנימית,IMA
"ד""ר קייזמן דניאל",קייזמן דניאל,,דניאל קייזמן,,IMA
"ד""ר טוב נוה",טוב נוה,"מומחה במחלות ריאה, מומחה ברפואה פנימית",נוה טוב,במחלות ריאה מומחה ברפואה פנימית,IMA
"ד""ר טוב נוה",טוב נוה,,נוה טוב,,IMA
"ד""ר פייטלסון יורם",פייטלסון יורם,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואת ילדים",יורם פייטלסון,באימונולוגיה ואלרגולוגיה מומחה ברפואת ילדים,IMA
"ד""ר פייטלסון יורם",פייטלסון יורם,,יורם פייטלסון,,IMA
"ד""ר ברקוביץ חגי",ברקוביץ חגי,מומחה ברפואת משפחה,חגי ברקוביץ,ברפואת משפחה,IMA
"ד""ר ברקוביץ חגי",ברקוביץ חגי,,חגי ברקוביץ,,IMA
"ד""ר ברנשטיין נדז'דהמומחית בפסיכיאטריה",ברנשטיין נדז'דהמומחית בפסיכיאטריה,,בפסיכיאטריה נדז'דהמומחית ברנשטיין,,IMA
"ד""ר ברנשטיין נדז'דה",ברנשטיין נדז'דה,,נדז'דה ברנשטיין,,IMA
"ד""ר מיסקין יאן",מיסקין יאן,"מומחה במחלות זיהומיות, מומחה ברפואת משפחה",יאן מיסקין,במחלות זיהומיות מומחה ברפואת משפחה,IMA
"ד""ר מיסקין יאן",מיסקין יאן,,יאן מיסקין,,IMA
"ד""ר שורץ שולמיתמומחית במחלות עיניים",שורץ שולמיתמומחית במחלות עיניים,,עיניים במחלות שולמיתמומחית שורץ,,IMA
"ד""ר שורץ שולמית",שורץ שולמית,,שולמית שורץ,,IMA
"ד""ר הפנר רוברט",הפנר רוברט,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",רוברט הפנר,בקרדיולוגיה מומחה ברפואה פנימית,IMA
"ד""ר הפנר רוברט",הפנר רוברט,,רוברט הפנר,,IMA
"ד""ר זלסוב אדוארד",זלסוב אדוארד,"מומחה במינהל רפואי, מומחה ברפואה פנימית, מומחה בגריאטריה",אדוארד זלסוב,במינהל רפואי מומחה ברפואה פנימית מומחה בגריאטריה,IMA
"ד""ר זלסוב אדוארד",זלסוב אדוארד,,אדוארד זלסוב,,IMA
"ד""ר שופמן אמי נחמיה",שופמן אמי נחמיה,מומחה בפסיכיאטריה,נחמיה אמי שופמן,בפסיכיאטריה,IMA
"ד""ר שופמן אמי נחמיה",שופמן אמי נחמיה,,נחמיה אמי שופמן,,IMA
"ד""ר פיטם מייקל",פיטם מייקל,מומחה בנוירולוגיה,מייקל פיטם,בנוירולוגיה,IMA
"ד""ר פיטם מייקל",פיטם מייקל,,מייקל פיטם,,IMA
פרופ כץ רן,כץ רן,מומחה בכירורגיה אורולוגית,רן כץ,בכירורגיה אורולוגית,IMA
פרופ כץ רן,כץ רן,,רן כץ,,IMA
"ד""ר הירש רפאל",הירש רפאל,מומחה בקרדיולוגיה,רפאל הירש,בקרדיולוגיה,IMA
"ד""ר הירש רפאל",הירש רפאל,,רפאל הירש,,IMA
"ד""ר גדנסקי אפרים",גדנסקי אפרים,מומחה ביילוד וגינקולוגיה,אפרים גדנסקי,ביילוד וגינקולוגיה,IMA
"ד""ר גדנסקי אפרים",גדנסקי אפרים,,אפרים גדנסקי,,IMA
"ד""ר שחאדה רביע",שחאדה רביע,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,רביע שחאדה,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר שחאדה רביע",שחאדה רביע,,רביע שחאדה,,IMA
"ד""ר מרוביץ' מיכאל",מרוביץ' מיכאל,"מומחה ברפואה לשיכוך כאב, מומחה בכירורגיה אורתופדית",מיכאל וביץ',ברפואה לשיכוך כאב מומחה בכירורגיה אורתופדית,IMA
"ד""ר מרוביץ' מיכאל",מרוביץ' מיכאל,,מיכאל וביץ',,IMA
"ד""ר חאסקיה עבד אלרחים",חאסקיה עבד אלרחים,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",אלרחים עבד חאסקיה,בקרדיולוגיה מומחה ברפואה פנימית,IMA
"ד""ר חאסקיה עבד אלרחים",חאסקיה עבד אלרחים,,אלרחים עבד חאסקיה,,IMA
"ד""ר סולודקי אלחנדרו",סולודקי אלחנדרו,מומחה בקרדיולוגיה,אלחנדרו סולודקי,בקרדיולוגיה,IMA
"ד""ר סולודקי אלחנדרו",סולודקי אלחנדרו,,אלחנדרו סולודקי,,IMA
"ד""ר מטבייצ'וק אלונהמומחית במינהל רפואי, מומחית במחלות ריאה, מומחית ברפואה פנימית","מטבייצ'וק אלונהמומחית במינהל רפואי, מומחית במחלות ריאה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית ריאה, במחלות מומחית רפואי, במינהל אלונהמומחית מטבייצ'וק",,IMA
"ד""ר מטבייצ'וק אלונה",מטבייצ'וק אלונה,,אלונה מטבייצ'וק,,IMA
"ד""ר לוי מרק-אלן",לוי מרק-אלן,"מומחה ברפואה תעסוקתית, מומחה ברפואה פנימית",מרק-אלן לוי,ברפואה תעסוקתית מומחה ברפואה פנימית,IMA
"ד""ר לוי מרק-אלן",לוי מרק-אלן,,מרק-אלן לוי,,IMA
"ד""ר קיסר נחמיה",קיסר נחמיה,"מומחה בפסיכיאטריה של הילד ומתבגר, מומחה ברפואת ילדים",נחמיה קיסר,בפסיכיאטריה של הילד ומתבגר מומחה ברפואת ילדים,IMA
"ד""ר קיסר נחמיה",קיסר נחמיה,,נחמיה קיסר,,IMA
"ד""ר בן-עמי דנהמומחית בגסטרואנטרולוגיה, מומחית ברפואה פנימית","בן-עמי דנהמומחית בגסטרואנטרולוגיה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית בגסטרואנטרולוגיה, דנהמומחית בן-עמי",,IMA
"ד""ר בן-עמי דנה",בן-עמי דנה,,דנה בן-עמי,,IMA
"ד""ר ששון מרגניתמומחית ברפואה דחופה, מומחית ברפואה פנימית","ששון מרגניתמומחית ברפואה דחופה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית דחופה, ברפואה מרגניתמומחית ששון",,IMA
"ד""ר ששון מרגנית",ששון מרגנית,,מרגנית ששון,,IMA
"ד""ר סלימאן חוסין",סלימאן חוסין,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",חוסין סלימאן,בקרדיולוגיה מומחה ברפואה פנימית,IMA
"ד""ר סלימאן חוסין",סלימאן חוסין,,חוסין סלימאן,,IMA
"ד""ר כרמון ארז",כרמון ארז,"מומחה במינהל רפואי, מומחה ביילוד וגינקולוגיה",ארז כרמון,במינהל רפואי מומחה ביילוד וגינקולוגיה,IMA
"ד""ר כרמון ארז",כרמון ארז,,ארז כרמון,,IMA
"ד""ר גנאים יאסר",גנאים יאסר,מומחה ברפואה פנימית,יאסר גנאים,ברפואה פנימית,IMA
"ד""ר גנאים יאסר",גנאים יאסר,,יאסר גנאים,,IMA
"ד""ר סגל ברק",סגל ברק,מומחה בכירורגיה אורתופדית,ברק סגל,בכירורגיה אורתופדית,IMA
"ד""ר סגל ברק",סגל ברק,,ברק סגל,,IMA
"ד""ר הלר איתן",הלר איתן,מומחה ברפואת משפחה,איתן הלר,ברפואת משפחה,IMA
"ד""ר הלר איתן",הלר איתן,,איתן הלר,,IMA
"ד""ר שיינר יותם אהרן",שיינר יותם אהרן,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,אהרן יותם שיינר,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר שיינר יותם אהרן",שיינר יותם אהרן,,אהרן יותם שיינר,,IMA
"ד""ר אופיר קרןמומחית ביילוד וגינקולוגיה",אופיר קרןמומחית ביילוד וגינקולוגיה,,וגינקולוגיה ביילוד קרןמומחית אופיר,,IMA
"ד""ר אופיר קרן",אופיר קרן,,קרן אופיר,,IMA
"ד""ר כבירי דורון",כבירי דורון,מומחה ביילוד וגינקולוגיה,דורון כבירי,ביילוד וגינקולוגיה,IMA
"ד""ר כבירי דורון",כבירי דורון,,דורון כבירי,,IMA
"ד""ר זלוטניק אורן",זלוטניק אורן,מומחה בכירורגיה כללית,אורן זלוטניק,בכירורגיה כללית,IMA
"ד""ר זלוטניק אורן",זלוטניק אורן,,אורן זלוטניק,,IMA
"ד""ר טירן בועז",טירן בועז,"מומחה במחלות ריאה, מומחה ברפואה פנימית",בועז טירן,במחלות ריאה מומחה ברפואה פנימית,IMA
"ד""ר טירן בועז",טירן בועז,,בועז טירן,,IMA
"ד""ר קרמינסקי נטליהמומחית באונקולוגיה",קרמינסקי נטליהמומחית באונקולוגיה,,באונקולוגיה נטליהמומחית קרמינסקי,,IMA
"ד""ר קרמינסקי נטליה",קרמינסקי נטליה,,נטליה קרמינסקי,,IMA
"ד""ר אסדי אחמד",אסדי אחמד,מומחה בכירורגיה כללית,אחמד אסדי,בכירורגיה כללית,IMA
"ד""ר אסדי אחמד",אסדי אחמד,,אחמד אסדי,,IMA
"ד""ר אנגל יצחק",אנגל יצחק,מומחה בכירורגיה אורתופדית,יצחק אנגל,בכירורגיה אורתופדית,IMA
"ד""ר אנגל יצחק",אנגל יצחק,,יצחק אנגל,,IMA
"ד""ר בשארה עבד",בשארה עבד,מומחה ברפואת משפחה,עבד בשארה,ברפואת משפחה,IMA
"ד""ר בשארה עבד",בשארה עבד,,עבד בשארה,,IMA
"ד""ר איסמן שמואל",איסמן שמואל,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,שמואל איסמן,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר איסמן שמואל",איסמן שמואל,,שמואל איסמן,,IMA
פרופ בורשטין מיכאל,בורשטין מיכאל,מומחה ברפואה פנימית,מיכאל בורשטין,ברפואה פנימית,IMA
פרופ בורשטין מיכאל,בורשטין מיכאל,,מיכאל בורשטין,,IMA
"ד""ר זבן אשואקמומחית ברדיולוגיה אבחנתית",זבן אשואקמומחית ברדיולוגיה אבחנתית,,אבחנתית ברדיולוגיה אשואקמומחית זבן,,IMA
"ד""ר זבן אשואק",זבן אשואק,,אשואק זבן,,IMA
"ד""ר קופרמן יצחק",קופרמן יצחק,מומחה בקרדיולוגיה,יצחק קופרמן,בקרדיולוגיה,IMA
"ד""ר קופרמן יצחק",קופרמן יצחק,,יצחק קופרמן,,IMA
פרופ וינברגר אברהם,וינברגר אברהם,"מומחה בראומטולוגיה, מומחה ברפואה פנימית",אברהם וינברגר,בראומטולוגיה מומחה ברפואה פנימית,IMA
פרופ וינברגר אברהם,וינברגר אברהם,,אברהם וינברגר,,IMA
"ד""ר גולן חנהמומחית בהמטו אונקולוגית ילדים, מומחית ברפואת ילדים","גולן חנהמומחית בהמטו אונקולוגית ילדים, מומחית ברפואת ילדים",,"ילדים ברפואת מומחית ילדים, אונקולוגית בהמטו חנהמומחית גולן",,IMA
"ד""ר גולן חנה",גולן חנה,,חנה גולן,,IMA
"ד""ר בסין איגור",בסין איגור,מומחה ברפואה פנימית,איגור בסין,ברפואה פנימית,IMA
"ד""ר בסין איגור",בסין איגור,,איגור בסין,,IMA
"ד""ר סלומון מיכלמומחית במחלות עור ומין",סלומון מיכלמומחית במחלות עור ומין,,ומין עור במחלות מיכלמומחית סלומון,,IMA
"ד""ר סלומון מיכל",סלומון מיכל,,מיכל סלומון,,IMA
"ד""ר קדאח מג'די",קדאח מג'די,"מומחה במחלות ריאה, מומחה ברפואה פנימית",מג'די קדאח,במחלות ריאה מומחה ברפואה פנימית,IMA
"ד""ר קדאח מג'די",קדאח מג'די,,מג'די קדאח,,IMA
"ד""ר סעד אליאס",סעד אליאס,"מומחה בהמטולוגיה, מומחה ברפואה פנימית",אליאס סעד,בהמטולוגיה מומחה ברפואה פנימית,IMA
"ד""ר סעד אליאס",סעד אליאס,,אליאס סעד,,IMA
"ד""ר פסיצלסקי אלכסנדר",פסיצלסקי אלכסנדר,מומחה בהרדמה,אלכסנדר פסיצלסקי,בהרדמה,IMA
"ד""ר פסיצלסקי אלכסנדר",פסיצלסקי אלכסנדר,,אלכסנדר פסיצלסקי,,IMA
"פרופ לשם איילמתמחה במינהל רפואי,","לשם איילמתמחה במינהל רפואי,","מומחה במחלות זיהומיות, מומחה ברפואה פנימית","רפואי, במינהל איילמתמחה לשם",במחלות זיהומיות מומחה ברפואה פנימית,IMA
פרופ לשם אייל,לשם אייל,,אייל לשם,,IMA
"ד""ר זילכה אמיר",זילכה אמיר,"מומחה בטיפול נמרץ ילדים, מומחה ברפואת ילדים",אמיר זילכה,בטיפול נמרץ ילדים מומחה ברפואת ילדים,IMA
"ד""ר זילכה אמיר",זילכה אמיר,,אמיר זילכה,,IMA
"ד""ר פראג נוה הדסמומחית במחלות עור ומין",פראג נוה הדסמומחית במחלות עור ומין,,ומין עור במחלות הדסמומחית נוה פראג,,IMA
"ד""ר פראג נוה הדס",פראג נוה הדס,,הדס נוה פראג,,IMA
"ד""ר מטאנס אליאס",מטאנס אליאס,מומחה בכירורגיה פלסטית ואסתטית,אליאס מטאנס,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר מטאנס אליאס",מטאנס אליאס,,אליאס מטאנס,,IMA
"ד""ר פרימר רון",פרימר רון,מומחה ברפואה תעסוקתית,רון פרימר,ברפואה תעסוקתית,IMA
"ד""ר פרימר רון",פרימר רון,,רון פרימר,,IMA
פרופ קוצר ערן,קוצר ערן,"מומחה ברפואה דחופה, מומחה ברפואת ילדים",ערן קוצר,ברפואה דחופה מומחה ברפואת ילדים,IMA
פרופ קוצר ערן,קוצר ערן,,ערן קוצר,,IMA
"ד""ר קאופמן אנהמומחית ברפואת ילדים",קאופמן אנהמומחית ברפואת ילדים,,ילדים ברפואת אנהמומחית קאופמן,,IMA
"ד""ר קאופמן אנה",קאופמן אנה,,אנה קאופמן,,IMA
פרופ תירוש אמיר,תירוש אמיר,"מומחה ברפואה פנימית, מומחה באנדוקרינולוגיה",אמיר תירוש,ברפואה פנימית מומחה באנדוקרינולוגיה,IMA
פרופ תירוש אמיר,תירוש אמיר,,אמיר תירוש,,IMA
"ד""ר איתי תמרמומחית ברפואת ילדים",איתי תמרמומחית ברפואת ילדים,,ילדים ברפואת תמרמומחית איתי,,IMA
"ד""ר איתי תמר",איתי תמר,,תמר איתי,,IMA
"ד""ר ונדר טטיאנהמומחית במינהל רפואי, מומחית ברפואה פיזיקלית ושיקום, מומחית בנוירולוגיה","ונדר טטיאנהמומחית במינהל רפואי, מומחית ברפואה פיזיקלית ושיקום, מומחית בנוירולוגיה",,"בנוירולוגיה מומחית ושיקום, פיזיקלית ברפואה מומחית רפואי, במינהל טטיאנהמומחית ונדר",,IMA
"ד""ר ונדר טטיאנה",ונדר טטיאנה,,טטיאנה ונדר,,IMA
"ד""ר דבאח חוסין",דבאח חוסין,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",חוסין באח,במחלות ריאה ילדים מומחה ברפואת ילדים,IMA
"ד""ר דבאח חוסין",דבאח חוסין,,חוסין באח,,IMA
"ד""ר דורי אמיר",דורי אמיר,מומחה בנוירולוגיה,אמיר ורי,בנוירולוגיה,IMA
"ד""ר דורי אמיר",דורי אמיר,,אמיר ורי,,IMA
"ד""ר רופא מיטלמומחית בקרדיולוגיה, מומחית ברפואה פנימית","רופא מיטלמומחית בקרדיולוגיה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית בקרדיולוגיה, מיטלמומחית רופא",,IMA
"ד""ר רופא מיטל",רופא מיטל,,מיטל רופא,,IMA
"ד""ר סלצר אנהמומחית בכירורגיה של היד, מומחית בכירורגיה אורתופדית","סלצר אנהמומחית בכירורגיה של היד, מומחית בכירורגיה אורתופדית",,"אורתופדית בכירורגיה מומחית היד, של בכירורגיה אנהמומחית סלצר",,IMA
"ד""ר סלצר אנה",סלצר אנה,,אנה סלצר,,IMA
"ד""ר אבראהים רביע",אבראהים רביע,מומחה ברפואה פנימית,רביע אבראהים,ברפואה פנימית,IMA
"ד""ר אבראהים רביע",אבראהים רביע,,רביע אבראהים,,IMA
"ד""ר לבנטר מרק",לבנטר מרק,מומחה בכירורגיה פלסטית ואסתטית,מרק לבנטר,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר לבנטר מרק",לבנטר מרק,,מרק לבנטר,,IMA
"ד""ר נשר רוניתמומחית במחלות עיניים",נשר רוניתמומחית במחלות עיניים,,עיניים במחלות רוניתמומחית נשר,,IMA
"ד""ר נשר רונית",נשר רונית,,רונית נשר,,IMA
"ד""ר יסלוביץ' אורי",יסלוביץ' אורי,מומחה בכירורגיה כללית,אורי יסלוביץ',בכירורגיה כללית,IMA
"ד""ר יסלוביץ' אורי",יסלוביץ' אורי,,אורי יסלוביץ',,IMA
"ד""ר אורנשטיין נעמהמומחית בגנטיקה רפואית, מומחית ברפואת ילדים","אורנשטיין נעמהמומחית בגנטיקה רפואית, מומחית ברפואת ילדים",,"ילדים ברפואת מומחית רפואית, בגנטיקה נעמהמומחית אורנשטיין",,IMA
"ד""ר אורנשטיין נעמה",אורנשטיין נעמה,,נעמה אורנשטיין,,IMA
"ד""ר רווה אייל",רווה אייל,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,אייל רווה,במחלות א.א.ג וכירורגיה של ראש וצוואר,IMA
"ד""ר רווה אייל",רווה אייל,,אייל רווה,,IMA
"ד""ר בוגומילסקי בוריס",בוגומילסקי בוריס,מומחה בפסיכיאטריה,בוריס בוגומילסקי,בפסיכיאטריה,IMA
"ד""ר בוגומילסקי בוריס",בוגומילסקי בוריס,,בוריס בוגומילסקי,,IMA
"ד""ר מוחסן נביל",מוחסן נביל,"מתמחה ברפואה לשיכוך כאב, מומחה בהרדמה",נביל מוחסן,ברפואה לשיכוך כאב מומחה בהרדמה,IMA
"ד""ר מוחסן נביל",מוחסן נביל,,נביל מוחסן,,IMA
"ד""ר וירז'נסקי פרל איריתמומחית באנדוקרינולוגיה, מומחית ברפואה פנימית","וירז'נסקי פרל איריתמומחית באנדוקרינולוגיה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית באנדוקרינולוגיה, איריתמומחית פרל וירז'נסקי",,IMA
"ד""ר וירז'נסקי פרל אירית",וירז'נסקי פרל אירית,,אירית פרל וירז'נסקי,,IMA
"ד""ר לוריא מיכלמומחית ביילוד וגינקולוגיה",לוריא מיכלמומחית ביילוד וגינקולוגיה,,וגינקולוגיה ביילוד מיכלמומחית לוריא,,IMA
"ד""ר לוריא מיכל",לוריא מיכל,,מיכל לוריא,,IMA
"ד""ר רווה אברי",רווה אברי,מומחה בכירורגיה פלסטית ואסתטית,אברי רווה,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר רווה אברי",רווה אברי,,אברי רווה,,IMA
"פרופ שגיא טלימומחית במחלות מטבוליות, מומחית בנוירו ילדים והתפתחות הילד, מומחית בנוירולוגית ילדים, מומחית ברפואת ילדים","שגיא טלימומחית במחלות מטבוליות, מומחית בנוירו ילדים והתפתחות הילד, מומחית בנוירולוגית ילדים, מומחית ברפואת ילדים",,"ילדים ברפואת מומחית ילדים, בנוירולוגית מומחית הילד, והתפתחות ילדים בנוירו מומחית מטבוליות, במחלות טלימומחית שגיא",,IMA
פרופ שגיא טלי,שגיא טלי,,טלי שגיא,,IMA
"ד""ר אלבו דורו",אלבו דורו,מומחה בקרדיולוגיה,דורו אלבו,בקרדיולוגיה,IMA
"ד""ר אלבו דורו",אלבו דורו,,דורו אלבו,,IMA
"ד""ר פרטוש עבו איילתמומחית בגסטרואנטרולוגיה, מומחית ברפואה פנימית","פרטוש עבו איילתמומחית בגסטרואנטרולוגיה, מומחית ברפואה פנימית",,"פנימית ברפואה מומחית בגסטרואנטרולוגיה, איילתמומחית עבו פרטוש",,IMA
"ד""ר פרטוש עבו איילת",פרטוש עבו איילת,,איילת עבו פרטוש,,IMA
"ד""ר בנימיני יוסף",בנימיני יוסף,מומחה בכירורגיה אורולוגית,יוסף בנימיני,בכירורגיה אורולוגית,IMA
"ד""ר בנימיני יוסף",בנימיני יוסף,,יוסף בנימיני,,IMA
"ד""ר שגב טל",שגב טל,מומחה בכירורגית כלי-דם,טל שגב,בכירורגית כלי-דם,IMA
"ד""ר בטחיש ג'לאל",בטחיש ג'לאל,"מומחה ברפואה פליאטיבית, מומחה ברפואה פנימית",ג'לאל בטחיש,ברפואה פליאטיבית מומחה ברפואה פנימית,IMA
"ד""ר בטחיש ג'לאל",בטחיש ג'לאל,,ג'לאל בטחיש,,IMA
"ד""ר קלמוביץ בועז",קלמוביץ בועז,מומחה בכירורגיה כללית,בועז קלמוביץ,בכירורגיה כללית,IMA
"ד""ר קלמוביץ בועז",קלמוביץ בועז,,בועז קלמוביץ,,IMA
"ד""ר פלד מיכאל",פלד מיכאל,מומחה בהרדמה,מיכאל פלד,בהרדמה,IMA
"ד""ר פלד מיכאל",פלד מיכאל,,מיכאל פלד,,IMA
"ד""ר בשיר נבאלמומחית ביילוד וגינקולוגיה",בשיר נבאלמומחית ביילוד וגינקולוגיה,,וגינקולוגיה ביילוד נבאלמומחית בשיר,,IMA
"ד""ר בשיר נבאל",בשיר נבאל,,נבאל בשיר,,IMA
"ד""ר גאעוני טארק",גאעוני טארק,מומחה במחלות עיניים,טארק גאעוני,במחלות עיניים,IMA
"ד""ר גאעוני טארק",גאעוני טארק,,טארק גאעוני,,IMA
"ד""ר שערץ מיטשל",שערץ מיטשל,"מומחה בנוירו ילדים והתפתחות הילד, מומחה ברפואת ילדים",מיטשל שערץ,בנוירו ילדים והתפתחות הילד מומחה ברפואת ילדים,IMA
"ד""ר שערץ מיטשל",שערץ מיטשל,,מיטשל שערץ,,IMA
"ד""ר קוורקיאן שי",קוורקיאן שי,מומחה ביילוד וגינקולוגיה,שי קוורקיאן,ביילוד וגינקולוגיה,IMA
"ד""ר קוורקיאן שי",קוורקיאן שי,,שי קוורקיאן,,IMA
"ד""ר משיח פרידלר ירדנהמומחית ביילוד וגינקולוגיה",משיח פרידלר ירדנהמומחית ביילוד וגינקולוגיה,,וגינקולוגיה ביילוד ירדנהמומחית פרידלר משיח,,IMA
"ד""ר משיח פרידלר ירדנה",משיח פרידלר ירדנה,,ירדנה פרידלר משיח,,IMA
"ד""ר נתנזון ניר",נתנזון ניר,מומחה במחלות עור ומין,ניר נתנזון,במחלות עור ומין,IMA
"ד""ר נתנזון ניר",נתנזון ניר,,ניר נתנזון,,IMA
"ד""ר קליוץ' סטניסלב",קליוץ' סטניסלב,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",סטניסלב קליוץ',בכירורגיה של היד מומחה בכירורגיה אורתופדית,IMA
"ד""ר קליוץ' סטניסלב",קליוץ' סטניסלב,,סטניסלב קליוץ',,IMA
"ד""ר עתאיקה מופלח",עתאיקה מופלח,"מומחה ברפואה פליאטיבית, מומחה ברפואת משפחה",מופלח עתאיקה,ברפואה פליאטיבית מומחה ברפואת משפחה,IMA
"ד""ר עתאיקה מופלח",עתאיקה מופלח,,מופלח עתאיקה,,IMA
"ד""ר הנו פאדי",הנו פאדי,מומחה בכירורגיה פלסטית ואסתטית,פאדי הנו,בכירורגיה פלסטית ואסתטית,IMA
"ד""ר הנו פאדי",הנו פאדי,,פאדי הנו,,IMA
"ד""ר חיים אלון",חיים אלון,"מומחה באנדוקרינולוגית ילדים, מומחה ברפואת ילדים",אלון חיים,באנדוקרינולוגית ילדים מומחה ברפואת ילדים,IMA
"ד""ר חיים אלון",חיים אלון,,אלון חיים,,IMA
"ד""ר מל ערן",מל ערן,"מומחה באנדוקרינולוגית ילדים, מומחה ברפואת ילדים",ערן מל,באנדוקרינולוגית ילדים מומחה ברפואת ילדים,IMA
"ד""ר ח'אזם ח'אלד",ח'אזם ח'אלד,"מומחה בנפרולוגיה, מומחה ברפואה פנימית",ח'אלד ח'אזם,בנפרולוגיה מומחה ברפואה פנימית,IMA
"ד""ר ח'אזם ח'אלד",ח'אזם ח'אלד,,ח'אלד ח'אזם,,IMA
"ד""ר חונה איתי",חונה איתי,מומחה במחלות עיניים,איתי חונה,במחלות עיניים,IMA
"ד""ר חונה איתי",חונה איתי,,איתי חונה,,IMA
"ד""ר חתומי שירהמומחית בכירורגיה אורולוגית",חתומי שירהמומחית בכירורגיה אורולוגית,,אורולוגית בכירורגיה שירהמומחית חתומי,,IMA
"ד""ר חתומי שירה",חתומי שירה,,שירה חתומי,,IMA
"ד""ר בניזרי סנדרהמומחית בנוירולוגיה",בניזרי סנדרהמומחית בנוירולוגיה,,בנוירולוגיה סנדרהמומחית בניזרי,,IMA
"ד""ר בניזרי סנדרה",בניזרי סנדרה,,סנדרה בניזרי,,IMA
