med_name,ima_name,norm_name,med_specialty,ima_specialty,confidence,name_match,specialty_match,med_idx,ima_idx
"ד""ר גיא שרים",שרים גיא,גיא שרים,"גינקולוגיה ופוריות, הפריה חוץ גופית ומעקב הריון",מומחה ביילוד וגינקולוגיה,1.0,True,False,957,1496
"ד""ר תומר איזנברג",איזנברג תומר,תומר איזנברג,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,996,4486
פרופ' בוריס קירשטיין,קירשטיין בוריס,בוריס קירשטיין,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,1002,1192
"ד""ר מוחמד מסאלחה",מסאלחה מוחמד,מוחמד מסאלחה,כירורגיה אורתופדית,מומחה במחלות א.א.ג וכירורגיה של ראש וצוואר,1.0,True,True,1071,2972
"ד""ר אברי רווה",רווה אברי,אברי רווה,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,1097,1927
"ד""ר ארי רייס",רייס ארי,ארי רייס,גינקולוגיה אונקולוגית,מומחה ביילוד וגינקולוגיה,1.0,True,False,1103,78
פרופ' רון האוזר,האוזר רון,רון האוזר,"מומחה גינקולוגיה ומיילדות, מומחה פריון האישה ומומחה פריון הגבר",מומחה ביילוד וגינקולוגיה,1.0,True,False,1168,2960
"ד""ר לאנדרו קסלמן",קסלמן לאנדרו,לאנדרו קסלמן,"גינקולוגיה, מיילדות, אולטרסאונד.",מומחה ביילוד וגינקולוגיה,1.0,True,False,1170,2274
"ד""ר רון פרי",פרי רון,רון פרי,כירורגיה הפטוביליארית,מומחה בכירורגיה כללית,1.0,True,False,1199,2563
"ד""ר מוטי חרץ",חרץ מוטי,מוטי חרץ,כירורגיה פלסטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,1235,4789
"ד""ר מזהר עטאללה",עטאללה מזהר,מזהר עטאללה,רפואת עיניים - מחלות רשתית וזגוגית העין,מומחה במחלות עיניים,1.0,True,False,1242,5782
"ד""ר פטריק שטפלר",שטפלר פטריק,פטריק שטפלר,פולמונולוג ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,1271,3793
"ד""ר אמיר וינטראוב",וינטראוב אמיר,אמיר וינטראוב,מיילדות וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,1306,334
