moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
אוגורצין ולדיסלב,אוגורצין ולדיסלב,ולדיסלב אוגורצין,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,31235,626
מרקוביץ' איגור,מרקוביץ' איגור,איגור קוביץ',כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,31256,5618
הנהרט יואל,הנהרט יואל,יואל הנהרט,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,31454,5136
גלבשטיין מיכאל,גלבשטיין מיכאל,מיכאל גלבשטיין,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,31544,1528
ישראל אדוארדו,ישראל אדוארדו,אדוארדו ישראל,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,31665,3688
קסלמן לאנדרו,קסלמן לאנדרו,לאנדרו קסלמן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,31705,2274
קובלונוק אלכסיי,קובלונוק אלכסיי,אלכסיי קובלונוק,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,31738,3092
בניאשוילי זזה,בניאשוילי זזה,זזה בניאשוילי,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,31742,2974
בורד איליה,בורד איליה,איליה בורד,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,31825,4046
רפליאנסקי איליה,רפליאנסקי איליה,איליה רפליאנסקי,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,31860,4925
פיטם מייקל,פיטם מייקל,מייקל פיטם,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,31972,1803
ילונין יבגני,ילונין יבגני,יבגני ילונין,כירורגית ילדים,"מומחה בכירורגית ילדים, מומחה בכירורגיה כללית",1.0,True,False,32027,727
וסרברוט זיו,וסרברוט זיו,זיו וסרברוט,כירורגיה אורתופדית,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",1.0,True,False,32147,5764
סקורניק יהודה,סקורניק יהודה,יהודה סקורניק,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,32297,5307
קפקא אילן זאב,קפקא אילן זאב,זאב אילן קפקא,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,32311,4454
גורן אליהו,גורן אליהו,אליהו גורן,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,32420,5120
סעב רונק,סעב רונק,רונק סעב,רפואת ילדים,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",1.0,True,False,32443,5905
אבו סאלח ראשד,אבו סאלח ראשד,ראשד סאלח אבו,כירורגיה כללית,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",1.0,True,False,32445,560
חסמינסקי ודים,חסמינסקי ודים,ודים חסמינסקי,רדיולוגיה אבחנתית,מומחה ברדיולוגיה אבחנתית,1.0,True,False,32518,3967
טל רועי,טל רועי,רועי טל,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,32541,340
ארמון נעם,ארמון נעם,נעם ארמון,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,32542,556
חג'אזי מאהר,חג'אזי מאהר,מאהר חג'אזי,רפואה פנימית,"מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,32557,396
שור סשה-לואיס,שור סשה-לואיס,סשה-לואיס שור,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,32586,5174
אורן נוגזר,אורן נוגזר,נוגזר אורן,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,32748,1218
גרפי שמואל,גרפי שמואל,שמואל גרפי,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,32772,5246
ערמי עמיר,ערמי עמיר,עמיר ערמי,כירורגיה של היד,"מומחה בכירורגיה של היד, מומחה בכירורגיה אורתופדית",1.0,True,False,32784,751
גלעד רון,גלעד רון,רון גלעד,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,32786,2042
מגל איתי,מגל איתי,איתי מגל,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,32787,5903
