moh_name,ima_name,norm_name,moh_specialty,ima_specialty,confidence,name_match,specialty_match,moh_idx,ima_idx
שטרן צבי,שטרן צבי,צבי שטרן,רפואה פנימית,"מומחה במינהל רפואי, מומחה ברפואה פנימית",1.0,True,False,12,699
כץ שלום,כץ שלום,שלום כץ,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,47,5959
קוגוסובסקי אברהם,קוגוסובסקי אברהם,אברהם קוגוסובסקי,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,100,436
בור עודד,בור עודד,עודד בור,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,102,4534
רשף אבנר,רשף אבנר,אבנר רשף,רפואה פנימית,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואה פנימית",1.0,True,False,119,592
פרל אליעזר,פרל אליעזר,אליעזר פרל,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,171,840
לאופר נרי,לאופר נרי,נרי לאופר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,286,3584
אברהם דוד,אברהם דוד,דוד אברהם,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,293,3218
גליק בנימין,גליק בנימין,בנימין גליק,נוירולוגיית ילדים,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,352,244
כהן יוסף,כהן יוסף,יוסף כהן,רפואה פנימית,"מומחה בהמטולוגיה, מומחה ברפואה פנימית",1.0,True,False,358,4406
קליר ישראל,קליר ישראל,ישראל קליר,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,359,596
צפלר עמנואל,צפלר עמנואל,עמנואל צפלר,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,383,1164
קויפמן צבי,קויפמן צבי,צבי קויפמן,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,443,3248
אמיר יעקב,אמיר יעקב,יעקב אמיר,רפואת ילדים,"מומחה במחלות זיהומיות, מומחה ברפואת ילדים",1.0,True,False,451,1000
ערד יוסף,ערד יוסף,יוסף ערד,רפואת ילדים,"מומחה באנדוקרינולוגית ילדים, מומחה באנדוקרינולוגיה, מומחה ברפואת ילדים",1.0,True,False,509,1552
יהב יעקב,יהב יעקב,יעקב יהב,רפואת ילדים,"מומחה במינהל רפואי, מומחה בגסטרואנטרולוגית ילדים, מומחה בגסטרואנטרולוגיה, מומחה ברפואת ילדים",1.0,True,False,525,3012
סטולוביץ חיים,סטולוביץ חיים,חיים סטולוביץ,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,561,2892
וולוביץ בנימין,וולוביץ בנימין,בנימין וולוביץ,מחלות ריאה ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,584,3428
וינר אהוד,וינר אהוד,אהוד וינר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,590,5375
אנג'ל דוד,אנג'ל דוד,דוד אנג'ל,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,609,2910
גונן ברוך,גונן ברוך,ברוך גונן,רפואת ילדים,"מומחה ברפואה דחופה, מומחה ברפואת ילדים",1.0,True,False,682,1122
קמפף דוד,קמפף דוד,דוד קמפף,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,717,542
גונן נח,גונן נח,נח גונן,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,768,5806
טל עמיקם,טל עמיקם,עמיקם טל,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,776,4580
נגרי מיכאל,נגרי מיכאל,מיכאל נגרי,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,790,739
רצקובסקי חנן,רצקובסקי חנן,חנן רצקובסקי,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,791,88
בר שמואל,בר שמואל,שמואל בר,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,795,1176
אורן מאיר,אורן מאיר,מאיר אורן,רפואת ילדים,"מומחה במינהל רפואי, מומחה ברפואת ילדים",1.0,True,False,884,1584
לימוני יהודה,לימוני יהודה,יהודה לימוני,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,914,416
שפירא ישראל,שפירא ישראל,ישראל שפירא,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,923,3424
הסנר אבי,הסנר אבי,אבי הסנר,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,949,616
קרניאלי אדי,קרניאלי אדי,אדי קרניאלי,רפואה פנימית,"מומחה באנדוקרינולוגיה, מומחה ברפואה פנימית",1.0,True,False,966,1744
הגש יוליוס,הגש יוליוס,יוליוס הגש,רפואת ילדים,"מומחה בקרדיולוגית ילדים, מומחה ברפואת ילדים, מומחה בקרדיולוגיה",1.0,True,False,993,10
וולפין גרשון,וולפין גרשון,גרשון וולפין,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,1067,3342
צוקרמן צבי,צוקרמן צבי,צבי צוקרמן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,1096,777
גולדריי דוד,גולדריי דוד,דוד גולדריי,רפואה פנימית,"מומחה במינהל רפואי, מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,1150,124
פייגין משה,פייגין משה,משה פייגין,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,1173,3594
יודסין רפאל,יודסין רפאל,רפאל יודסין,כירורגית ילדים,"מומחה בכירורגית ילדים, מומחה בכירורגיה כללית",1.0,True,False,1177,775
מורג חיים,מורג חיים,חיים מורג,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,1182,492
חרוזי אילן,חרוזי אילן,אילן חרוזי,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,1185,540
שופר אבינועם,שופר אבינועם,אבינועם שופר,נוירולוגית ילדים והתפתחות הילד,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,1204,1148
דינרי גבריאל,דינרי גבריאל,גבריאל דינרי,רפואת ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה במינהל רפואי, מומחה בגסטרואנטרולוגיה, מומחה ברפואת ילדים",1.0,True,False,1218,1411
בלומנקרנץ יוסף,בלומנקרנץ יוסף,יוסף בלומנקרנץ,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,1225,178
אבירם אלכסנדר,אבירם אלכסנדר,אלכסנדר אבירם,רפואה פנימית,"מומחה במינהל רפואי, מומחה בנפרולוגיה, מומחה ברפואה פנימית",1.0,True,False,1239,3807
שדה מנחם,שדה מנחם,מנחם שדה,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,1254,136
בלשר יורם,בלשר יורם,יורם בלשר,נפרולוגיה ילדים,"מומחה ברפואה דחופה, מומחה בנפרולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,1280,62
ורנר בן,ורנר בן,בן ורנר,רפואת ילדים,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואת ילדים",1.0,True,False,1310,3238
דרומר דב,דרומר דב,דב דרומר,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,1397,1194
קיסר נחמיה,קיסר נחמיה,נחמיה קיסר,רפואת ילדים,"מומחה בפסיכיאטריה של הילד ומתבגר, מומחה ברפואת ילדים",1.0,True,False,1459,1823
ברויאר רפאל,ברויאר רפאל,רפאל ברויאר,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,1468,5556
בוינובר יורם,בוינובר יורם,יורם בוינובר,רפואת ילדים,"מומחה בגסטרואנטרולוגית ילדים, מומחה בגסטרואנטרולוגיה, מומחה ברפואת ילדים",1.0,True,False,1479,3040
בס אריה,בס אריה,אריה בס,כירורגיה כללית,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",1.0,True,False,1573,2617
אבני עמירם,אבני עמירם,עמירם אבני,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,1587,4207
שניר משה,שניר משה,משה שניר,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,1616,5734
פרקש עמיצור,פרקש עמיצור,עמיצור פרקש,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,1623,1781
רובינשטיין ארדון,רובינשטיין ארדון,ארדון רובינשטיין,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,1624,1678
שפר זאב,שפר זאב,זאב שפר,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,1636,5418
ורדי יורם,ורדי יורם,יורם ורדי,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,1639,2234
זיידיס יצחק,זיידיס יצחק,יצחק זיידיס,יילוד וגינקולוגיה,"מומחה במינהל רפואי, מומחה באנדוקרינולוגיה, מומחה ביילוד וגינקולוגיה",1.0,True,False,1648,4872
ברנע מנשה,ברנע מנשה,מנשה ברנע,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,1704,950
מוטרו מיכאל,מוטרו מיכאל,מיכאל מוטרו,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,1731,92
גולד יצחק,גולד יצחק,יצחק גולד,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,1760,833
ליפשיץ יחזקאל,ליפשיץ יחזקאל,יחזקאל ליפשיץ,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,1783,494
לחמן אילון,לחמן אילון,אילון לחמן,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,1784,747
כץ מנחם,כץ מנחם,מנחם כץ,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,1850,3580
אופיר מנחם,אופיר מנחם,מנחם אופיר,כירורגיה כללית,"מומחה בפסיכיאטריה, מומחה בכירורגיה כללית",1.0,True,False,1854,3224
סיון יעקב,סיון יעקב,יעקב סיון,רפואת ילדים,"מומחה בטיפול נמרץ ילדים, מומחה במחלות ריאה ילדים, מומחה בטיפול נמרץ כללי, מומחה ברפואת ילדים",1.0,True,False,1874,5953
הלל תום,הלל תום,תום הלל,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,1927,2682
קמפלר שמואל,קמפלר שמואל,שמואל קמפלר,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,1947,2535
ורדי משה,ורדי משה,משה ורדי,פסיכיאטריה של הילד והמתבגר,"מומחה בפסיכיאטריה של הילד ומתבגר, מומחה בפסיכיאטריה",1.0,True,False,1958,254
המרמן חיים,המרמן חיים,חיים המרמן,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,2016,2599
כהן אברהם,כהן אברהם,אברהם כהן,נוירוכירורגיה,מומחה בנוירוכירורגיה,1.0,True,False,2123,548
בראון מריוס,בראון מריוס,מריוס בראון,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,2205,4169
סבירסקי בוריס,סבירסקי בוריס,בוריס סבירסקי,רפואה פנימית,"מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,2221,360
פפר חורחה,פפר חורחה,חורחה פפר,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,2242,5256
אברהמי סימון,אברהמי סימון,סימון אברהמי,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,2407,2836
רודריג יוסף,רודריג יוסף,יוסף רודריג,רפואה פנימית,"מומחה ברפואה דחופה, מומחה ברפואה פנימית",1.0,True,False,2534,2286
שוורץ יהודה אברהם,שוורץ יהודה אברהם,אברהם יהודה שוורץ,רפואת ילדים,"מומחה במחלות ריאה ילדים, מומחה במחלות ריאה, מומחה ברפואת ילדים",1.0,True,False,2565,3110
סטבסקי מייק,סטבסקי מייק,מייק סטבסקי,פסיכיאטריה של הילד והמתבגר,מומחה בפסיכיאטריה של הילד ומתבגר,1.0,True,False,2601,4248
אלטמרק דוד,אלטמרק דוד,דוד אלטמרק,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,2626,1588
סעד סולומון,סעד סולומון,סולומון סעד,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,2731,3718
גיל ישראל,גיל ישראל,ישראל גיל,רפואה פנימית,"מומחה בגריאטריה, מומחה ברפואה פנימית",1.0,True,False,2924,4971
קורן אריאל,קורן אריאל,אריאל קורן,רפואת ילדים,"מומחה בהמטו אונקולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,3000,3094
וולקוב דניאל,וולקוב דניאל,דניאל וולקוב,כירורגיה כללית,מומחה בכירורגיה כללית,1.0,True,False,3025,4420
אגמון ארנון,אגמון ארנון,ארנון אגמון,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,3082,5856
זינגר מנחם,זינגר מנחם,מנחם זינגר,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,3201,480
שגב דוד,שגב דוד,דוד שגב,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,3202,5889
פז ברעם,פז ברעם,ברעם פז,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,3411,1504
רוטשטיין מיכאל,רוטשטיין מיכאל,מיכאל רוטשטיין,נוירולוגיית ילדים,"מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,3460,882
סבח גד,סבח גד,גד סבח,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,True,3505,4902
קרנר רם,קרנר רם,רם קרנר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,3570,3020
קרנר ארתור,קרנר ארתור,ארתור קרנר,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,3611,2696
גורצק יאיר,גורצק יאיר,יאיר גורצק,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,3626,4793
פרג יואב,פרג יואב,יואב פרג,רפואה פנימית,"מומחה ברדיולוגיה אבחנתית, מומחה ברפואה פנימית",1.0,True,False,3736,5391
שטוקהיים דוד,שטוקהיים דוד,דוד שטוקהיים,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,3798,5822
תורקישר ולדימיר,תורקישר ולדימיר,ולדימיר תורקישר,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,3815,678
רייטר יואל,רייטר יואל,יואל רייטר,רפואת ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,3821,3126
קנטרובסקי אלכסנדר,קנטרובסקי אלכסנדר,אלכסנדר קנטרובסקי,כירורגיה כללית,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",1.0,True,False,3827,150
גילבורד יוסף,גילבורד יוסף,יוסף גילבורד,נוירוכירורגיה,מומחה בנוירוכירורגיה,1.0,True,False,3916,765
מליק אלעד,מליק אלעד,אלעד מליק,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,4003,2132
טרבס אילן,טרבס אילן,אילן טרבס,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,4058,1435
שכטר אדוארדו,שכטר אדוארדו,אדוארדו שכטר,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,4217,4203
לוין דן,לוין דן,דן לוין,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,4272,1256
ויס אמיר,ויס אמיר,אמיר ויס,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,4375,3448
פיסמן צבי,פיסמן צבי,צבי פיסמן,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,4415,1752
טראו הנרי,טראו הנרי,הנרי טראו,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,4457,3529
אדלר שמחה,אדלר שמחה,שמחה אדלר,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,4467,2670
גינת שמעון,גינת שמעון,שמעון גינת,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,4575,412
רייזיס זאב,רייזיס זאב,זאב רייזיס,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,4808,884
לביא מנשה,לביא מנשה,מנשה לביא,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,4817,5784
דורפמן דב,דורפמן דב,דב דורפמן,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,4843,5638
בנימין יונתן,בנימין יונתן,יונתן בנימין,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,4880,942
ליבוביץ יגאל,ליבוביץ יגאל,יגאל ליבוביץ,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,4891,2607
בלום אדוין-דן,בלום אדוין-דן,אדוין-דן בלום,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,5043,2896
אידסס קרלוס,אידסס קרלוס,קרלוס אידסס,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,5148,844
הפנר רוברט,הפנר רוברט,רוברט הפנר,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,5324,1797
שניידרמן דניאל,שניידרמן דניאל,דניאל שניידרמן,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,5329,2750
ירמולובסקי אלכסנדר,ירמולובסקי אלכסנדר,אלכסנדר ירמולובסקי,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,5485,886
אלבו דורו,אלבו דורו,דורו אלבו,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,5708,1931
זבלודובסקי חוסה,זבלודובסקי חוסה,חוסה זבלודובסקי,רפואה פנימית,"מומחה בנפרולוגיה, מומחה ברפואה פנימית",1.0,True,False,6061,1524
צוקרמן רוברט,צוקרמן רוברט,רוברט צוקרמן,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,6115,48
רויבורט משה,רויבורט משה,משה רויבורט,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,6259,474
פרייס דריו,פרייס דריו,דריו פרייס,רפואת ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,6275,3773
פאול מיכאל,פאול מיכאל,מיכאל פאול,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,6319,1363
שפיר גדעון,שפיר גדעון,גדעון שפיר,רדיולוגיה אבחנתית,מומחה ברדיולוגיה אבחנתית,1.0,True,False,6455,3474
הרלב דן,הרלב דן,דן הרלב,הימטואונקולוגיה ילדים,"מומחה בהמטו אונקולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,6720,3398
שיף אהרון,שיף אהרון,אהרון שיף,רפואת ילדים,"מומחה בנוירו ילדים והתפתחות הילד, מומחה ברפואת ילדים",1.0,True,False,6779,2662
שכנר רוברט,שכנר רוברט,רוברט שכנר,רדיולוגיה אבחנתית,מומחה ברדיולוגיה אבחנתית,1.0,True,False,6887,2338
סילברברג דניאל,סילברברג דניאל,דניאל סילברברג,כירורגיה כללית,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",1.0,True,False,6934,4336
זולדן יוסף,זולדן יוסף,יוסף זולדן,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,6936,2252
פלוק אברהם,פלוק אברהם,אברהם פלוק,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,6996,1544
שופרו יואל,שופרו יואל,יואל שופרו,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,7149,1112
שור הנרי,שור הנרי,הנרי שור,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,7216,1304
קאופמן בזיל,קאופמן בזיל,בזיל קאופמן,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,7222,2710
דוידוביץ יוסף,דוידוביץ יוסף,יוסף דוידוביץ,רפואה פנימית,מומחה ברפואה פנימית,1.0,True,False,7228,3632
אברבוך אדוארד,אברבוך אדוארד,אדוארד אברבוך,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,7265,2613
רוזנמן דוד,רוזנמן דוד,דוד רוזנמן,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,7461,4554
יונגסטר אילן,יונגסטר אילן,אילן יונגסטר,רפואת ילדים,"מומחה במחלות זיהומיות, מומחה בפרמקולוגיה קלינית, מומחה ברפואת ילדים",1.0,True,False,7562,3352
לוונטל אלכסנדר,לוונטל אלכסנדר,אלכסנדר לוונטל,קרדיולוגיה ילדים,"מומחה בקרדיולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,7615,922
וגנר בנימין,וגנר בנימין,בנימין וגנר,פסיכיאטריה של הילד והמתבגר,מומחה בפסיכיאטריה של הילד ומתבגר,1.0,True,False,7654,3825
מימוני פרנסיס,מימוני פרנסיס,פרנסיס מימוני,רפואת ילדים,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",1.0,True,False,7732,4807
קריגר ישראל,קריגר ישראל,ישראל קריגר,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,7771,3921
הופמן אזיק,הופמן אזיק,אזיק הופמן,כירורגיה אורולוגית,מומחה בכירורגיה אורולוגית,1.0,True,False,7818,5393
גורדון יעקב,גורדון יעקב,יעקב גורדון,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,7835,1172
קויפמן אריה,קויפמן אריה,אריה קויפמן,יילוד וגינקולוגיה,"מומחה בגנטיקה רפואית, מומחה ביילוד וגינקולוגיה",1.0,True,False,7837,3694
הנדלר אלברטו,הנדלר אלברטו,אלברטו הנדלר,קרדיולוגיה,מומחה בקרדיולוגיה,1.0,True,False,7858,5510
נשר ליאור,נשר ליאור,ליאור נשר,רפואה פנימית,"מומחה במחלות זיהומיות, מומחה ברפואה פנימית",1.0,True,False,7874,126
אגבאריה סאלח,אגבאריה סאלח,סאלח אגבאריה,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,7893,4656
אורבך מרטין,אורבך מרטין,מרטין אורבך,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,7936,478
גל אייל,גל אייל,אייל גל,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,7964,638
שולמן אורי,שולמן אורי,אורי שולמן,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,7976,5224
רוסמן יוסף,רוסמן יוסף,יוסף רוסמן,רפואה פנימית,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואה פנימית",1.0,True,False,7993,5458
קטורזה אלדד,קטורזה אלדד,אלדד קטורזה,יילוד וגינקולוגיה,"מומחה במינהל רפואי, מומחה ביילוד וגינקולוגיה",1.0,True,False,8014,4530
ברקאי אברהם,ברקאי אברהם,אברהם ברקאי,רפואת ילדים,מומחה ברפואת ילדים,1.0,True,False,8031,916
ברקאי גבריאל,ברקאי גבריאל,גבריאל ברקאי,פסיכיאטריה,מומחה בפסיכיאטריה,1.0,True,False,8044,5339
חיימי מוטי,חיימי מוטי,מוטי חיימי,הימטואונקולוגיה ילדים,"מומחה בהמטו אונקולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,8065,2172
מנדל דרור,מנדל דרור,דרור מנדל,רפואת ילדים,"מומחה בנאונטולוגיה, מומחה ברפואת ילדים",1.0,True,False,8110,1769
נתנזון ניר,נתנזון ניר,ניר נתנזון,דרמטולוגיה-מחלות עור ומין,מומחה במחלות עור ומין,1.0,True,False,8129,1954
שגב עמית,שגב עמית,עמית שגב,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,8137,96
הלוי חן,הלוי חן,חן הלוי,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,8206,12
קרפלוס גדעון,קרפלוס גדעון,גדעון קרפלוס,כירורגית ילדים,מומחה בכירורגית ילדים,1.0,True,False,8254,5897
פרוכטר אורן,פרוכטר אורן,אורן פרוכטר,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,8262,3414
אמסלם חגי,אמסלם חגי,חגי אמסלם,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,8355,4846
אהרון מיכאל,אהרון מיכאל,מיכאל אהרון,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,8363,68
מורבסקי גיל,מורבסקי גיל,גיל מורבסקי,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,8365,3454
קליינמן גיא,קליינמן גיא,גיא קליינמן,מחלות עיניים,מומחה במחלות עיניים,1.0,True,False,8371,1642
שחר איל,שחר איל,איל שחר,רפואה פנימית,"מומחה בגסטרואנטרולוגיה, מומחה ברפואה פנימית",1.0,True,False,8385,298
שלומי דקל,שלומי דקל,דקל שלומי,רפואה פנימית,"מומחה במחלות ריאה, מומחה ברפואה פנימית",1.0,True,False,8410,2820
סגל דוד,סגל דוד,דוד סגל,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,8473,1128
אוחנה אריק,אוחנה אריק,אריק אוחנה,יילוד וגינקולוגיה,מומחה ביילוד וגינקולוגיה,1.0,True,False,8479,2734
ח'אזם ח'אלד,ח'אזם ח'אלד,ח'אלד ח'אזם,רפואה פנימית,"מומחה בנפרולוגיה, מומחה ברפואה פנימית",1.0,True,False,8506,1965
חיון יחיאל,חיון יחיאל,יחיאל חיון,כירורגיה פלסטית ואסתטית,מומחה בכירורגיה פלסטית ואסתטית,1.0,True,False,8620,3535
אורון טל,אורון טל,טל אורון,אנדוקרינולוגיה ילדים,"מומחה באנדוקרינולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,8626,715
אשר אילן,אשר אילן,אילן אשר,רפואה פנימית,"מומחה באימונולוגיה ואלרגולוגיה, מומחה ברפואה פנימית",1.0,True,False,8646,2998
גבריאל ניר,גבריאל ניר,ניר גבריאל,כירורגיה כללית,"מומחה בכירורגית כלי-דם, מומחה בכירורגיה כללית",1.0,True,False,8652,1425
דבאח חוסין,דבאח חוסין,חוסין דבאח,רפואת ילדים,"מומחה במחלות ריאה ילדים, מומחה ברפואת ילדים",1.0,True,False,8681,1899
חובב תבור,חובב תבור,תבור חובב,כירורגיה אורתופדית,מומחה בכירורגיה אורתופדית,1.0,True,False,8690,5160
מנשקו שי,מנשקו שי,שי מנשקו,נוירולוגית ילדים והתפתחות הילד,"מומחה בנוירו ילדים והתפתחות הילד, מומחה בנוירולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,8693,795
שפירא דניאל,שפירא דניאל,דניאל שפירא,נוירולוגית ילדים והתפתחות הילד,"מומחה בנוירו ילדים והתפתחות הילד, מומחה ברפואת ילדים",1.0,True,False,8707,5474
חיים מרדכי,חיים מרדכי,מרדכי חיים,רפואה פנימית,"מומחה בקרדיולוגיה, מומחה ברפואה פנימית",1.0,True,False,8733,504
גברי שגיא,גברי שגיא,שגיא גברי,רפואת ילדים,"מומחה בקרדיולוגית ילדים, מומחה ברפואת ילדים",1.0,True,False,8737,102
דורי אמיר,דורי אמיר,אמיר דורי,נוירולוגיה,מומחה בנוירולוגיה,1.0,True,False,8741,1901
